intent,answer
Cardapply,"You’ll need to provide personal information, including your:Full name, Social Security number, Date of birth, Physical address, (No P.O. Boxes) Estimated gross annual income, Checking and/or savings account information"
Authuser,"Yes. You can add authorized users online after you sign in, or you can call the number on the back of your card. Please note that to add an authorized user to your account, you must be the primary cardholder, secondary cardholder, power of attorney, or small business account manager. Adding a user can be done only if you’ve already been approved—not during the application process. We do not offer the option for co-applicants at this time, but you may add an authorized user after your account is opened."
CardAppStatus,"If you apply by phone or online, you will often get a response in 60 seconds. However, in some cases we need to collect additional information to make a decision. You can check the status of your application anytime by calling 1-800-903-1234. We will notify you in writing of our decision within 7 to 10 days of your application."
NewCCReceive,"If you’re approved, you’ll receive your Banco Uno card, credit limit information, and welcome materials by mail within 7 to 10 business days. However, customers approved for a Secured Mastercard card will need to pay the deposit in full before the card ships—then it will be 7 to 10 business days."
ApplyPayments,"We generally apply payments up to your minimum payment first to the balance with the lowest APR, and then to balances with higher APRs. We apply any part of your payment exceeding your minimum payment to the balance with the highest APR, and then to balances with lower APRs."
DeclineLetter,"If you’ve been notified online that you were declined for a credit card from Banco Uno, we want to make sure we help you understand why. If you are unable to access your secure letter online containing further details, please call us at 1-800-903-1234 to request that a paper copy be mailed to you."
LostStolenCard,"Reporting your lost or stolen card online is the fastest way to start the process of getting a replacement card. When you do that, we’ll deactivate your old card so no one else can use it, and you can tell us if there are purchases on your account you didn’t make. If you can't complete the process online, call 1-800-955-7070. If you are a small business customer, call 1-800-867-1234. From outside the United States, call our collect number at (804) 934–1234."
LostStolenFraud,Your card comes with $0 Fraud Liability if your card is ever lost or stolen and used without your authorization. Read more about our commitment to fraud prevention.
ForeignFee,Banco Uno does not charge a fee for using your credit card for foreign currency transactions. Foreign purchases will be converted at the foreign exchange rate in effect at the time of processing the charge. Read more about foreign transaction and currency conversion fees.
UseOutside,"No. You do not need set a travel alert of any type before using your card outside of the United States. Because Banco Uno cards now use EMV chip technology, you can make secure transactions abroad without notifying us in advance. If you encounter any problems with your account while traveling within the United States, please call the phone number on the back of your card. If you encounter any problems with your account while traveling outside of the United States, please contact us at our international collect telephone number, 1-800-955-1234. Please note, be sure to follow the policies for outbound dialing in the country where you are traveling; you will need to place a collect call through an operator, and Banco Uno will accept the charges."
CreditReport,"A credit report shows your credit history, including: How often you make payments on time How much credit you have How much credit you have available How much credit you’re using Credit bureaus compile credit reports from lenders’ updated information. Reviewing credit reports helps lenders decide if they’ll loan money to you and what interest rates they’ll offer. Credit reports contain: Personal information may include things like your name, Social Security and driver’s license numbers, date of birth, current and previous addresses, and employers. Public information includes information like tax liens, judgments, and bankruptcy filings, which is reported by the courts. Credit inquiry section lists parties who have accessed your credit report within the past two years. Credit history shows the number and types of accounts you have, how much you owe to your lenders, and whether you’ve made payments on time. The credit bureaus get this type of information from banks, creditors, department stores, and other lenders."
CreditBureau,We typically share credit card account information with credit bureaus once a month. A credit report will show the date we sent the updated information.
CBRNegative,Credit bureaus are required by law to remove negative information after 7 to 10 years. Visit the Consumer Financial Protection Bureau – consumerfinance.gov – for details.
CBRContact,Equifax.com 1-800-685-1111 TransUnion.com 1-800-888-4213 Experian.com 1-888-397-3742 Innovis.com 1-800-540-2505.  This contact info is current as of November 2016.
CBRcopy,You can get a free copy of your credit report once a year from each credit bureau shown above or at AnnualCreditReport.com. Learn more about how to check your credit report.
CBRMistake,"You can file a dispute with the credit bureaus or directly with a lender. If you dispute through the credit bureaus, they’ll let you know about anything that’s updated. If you contact us directly to dispute something on your Banco Uno account, we’ll conduct an investigation and respond to you when we have the facts."
CBRSold,"You’ll see Banco Uno still listed on a sold account because, even after the sale, it will remain part of your credit history showing you had that Banco Uno account."
CBRStatus,"When we sell an account, the status that will remain on the credit report under Banco Uno’s name is the status as of the date it was sold. We’re not able to share new information about an account after we sell it. However, we can make changes if any of our previous updates were inaccurate."
CBRretailer,"We partner with retailers or other companies to provide credit to their customers. Even though a credit card might have a different brand name on it, Banco Uno provides credit and manages credit reporting of the account."
PrimeRate,"The Prime Rate is a benchmark interest rate used by Banco Uno and most other banks to set rates on consumer loan products, such as credit cards. The Prime Rate is based upon, and generally changes with, the Federal Reserve’s Fed Funds Rate. You can find the current Prime Rate in the money rates column of The Wall Street Journal. If your credit card or any other loan has a variable APR based on the Prime Rate, whenever the Prime Rate changes, the variable APR on your account will likely change with it."
APR,"To find the current APR for your account, check the “Interest Charge Calculation” section of your monthly credit card statement, either online or on the statement you receive in the mail."
VarAPR,We calculate a variable APR by adding a margin to the Prime Rate published in The Wall Street Journal. Please check your account details for more information.
APRchange,"If your account has a variable APR based on the Prime Rate, please refer to your monthly account statement for the date of when these changes take effect."
APRdrop,"If the Federal Reserve’s actions lower the Fed Funds Rate, both the Prime Rate and your credit card account’s APR are likely to go down as well."
Intdrop,"Doing the following can help you minimize interest charges: If possible, pay your balance in full to avoid interest charges. Making on-time payments of more than your minimum payment each month will reduce the overall amount of interest you pay."
Minpay,"Your minimum payment includes billed interest charges. So, if the Prime Rate changes, your variable APR changes, and by extension your interest charges and your minimum payment may also change with it."
Clinc,"Some accounts aren't eligible for increased credit lines upon request. Accounts that are usually ineligible: Are new accounts opened within the past several months. Are secured credit cards. Have received a credit line increase or decrease over the past several months. Even if your account does not meet either of these criteria, a credit line increase may still be declined for other reasons."
clelig,"You make on-time payments (with all creditors). You make larger monthly payments that pay down your balance. Learn more about the factors that affect your credit score. Download CreditWisefrom Banco Uno, our free mobile app."
clinfo,"You’ll need to provide your total annual income, employment status and monthly mortgage or rent payment. If you're applying for a credit line increase for your Spark business credit card, you'll need to provide your total annual income and last year’s total business revenue."
clinfouse,"We will use the information you submit to process your request for a credit line increase, and we may use it to review and service your account in the future."
clinfo2,Federal regulations require us to verify that each customer meets certain requirements for credit line increase offers. The information you provide when requesting a credit line increase helps us understand your financial situation so that we can make a responsible decision.
clincome,"Here’s how to think about what to include: Personal Income: Income you earn, including full-time, part-time or seasonal jobs, self-employment, interest or dividends, retirement, and public assistance. Shared Income: Money from somebody else that is regularly deposited into your individual account or into a joint account that person shares with you. Optional Income: Alimony, child support or separate maintenance income doesn’t need to be included, unless you want it to be considered."
clemp,"For employment status, choose employed, self-employed, retired, unemployed, student or other–whichever is most accurate: Employed: You work full or part time for a company or business you don’t own. Self-Employed: You own a business where you work full-time or part-time. Unemployed: You aren’t currently employed full-time or part-time and don’t own a business, even if you’re collecting unemployment benefits or public assistance. Retired: You no longer work full-time or part-time, but currently have a source of income or are living off of savings or other retirement benefits. Student: You’re enrolled in classes full time (even if you have a full-time job). Other: None of the above apply, or you’re unemployed but do have regular access to income from somebody else."
clexp,"Yes, as long as you are at least 21 years old and that income is regularly used to pay your expenses. If you are under 21 years old, you may only include your own income or income from somebody else if it’s regularly deposited into your bank account or into an account that you share with this person."
clrent,"For your monthly rent or mortgage payment, please enter the amount you pay to your mortgage company or the amount you’re required to pay according to your rental agreement. You don’t need to include other housing-related expenses that aren’t included in your monthly mortgage or rental payment. If you don’t have a monthly mortgage or rent payment, you can enter $0."
clspend,Estimate the total amount spent by your business with all your credit cards in an average month. Do not include debit card spending.
clbusiness,"For your business's annual revenue, please provide your total revenue for the most recent fiscal year. Please don't provide profit only, but rather your total revenue."
applyhappen,"When you submit your request, we’ll review your information. In some cases, we can provide a decision immediately. However, in many cases we need to review certain information, and that may take up to 30 days."
applycl,"If approved, your credit line is available immediately."
clincreas,"Yes, if you are signed into your account, you can request a credit line increase online by choosing the Request Credit Line Increase link from the Services tab. If you haven’t enrolled in online servicing yet, just click the Enroll Here link on our homepage."
clinclater,"You may request a credit line increase anytime you like. However, we can’t guarantee that you’ll be approved in the future, even if you address the decline reasons listed in the letter we sent."
approvecl,"While we can’t guarantee a future credit line increase, there are some things you can do to improve your chances: Pay on time every month. Set up Payment Due alerts to help out. Make more than your minimum monthly payment. Pay down your balance more quickly and use tools like AutoPay to keep you on track. Keep all your accounts in good standing. Download CreditWise from Banco Uno, our free mobile app, to help you monitor your credit score. Keep your employment and income information up to date."
anothercl,"The reasons in your letter were factors used to determine your eligibility for a credit line increase, so fixing them may increase your chances for a future increase. We can’t guarantee approval, but you’re welcome to request an increase anytime. Requesting a credit line increase from Banco Uno doesn’t impact your credit score."
reasonsdecline,"Examples are past due payments, high loan obligations, charge-off on other cards"
resdecl,Please see the website for your specific situation
rewards1,"If you are already a Banco Uno® rewards credit card customer, you can access your rewards information online anytime by signing in to your account. You can even set a specific threshold for redemption in which you would automatically receive your cash back."
rewards2,"As long as you pay the monthly minimum payment by the due date, you will accumulate rewards."
rewards3,"Yes, you can redeem any or all of your available rewards whenever you'd like, provided your account is open and in good standing."
rewards4,"Rewards are earned on net purchases (purchases minus any credits or returns). Cash advances, balance transfers, checks used to access your account and cash equivalent transactions are not considered purchases and will not earn rewards."
